provider,country,language,url
Google Home,Germany,de,https://www.conrad.de/de/Search.html?searchType=REGULAR&search=google%20home%20conrad%20connect
alexa,Germany,de,https://www.conrad.de/de/Search.html?search=amazon%20echo%20&searchType=REGULAR&category=%1FMultimedia%1FLautsprecher%1FSprachassistenten&WT.ac=cs_amazonecho
greeniq,Germany,de,https://www.conrad.de/de/brandlist/greeniq.html
lightify,Germany,de,https://www.conrad.de/de/Search.html?search=osram%20conrad%20connect&searchType=REGULAR&category=%1FGeb%25C3%25A4udetechnik%1FSmart%2BHome
rwe,Germany,de,https://www.conrad.de/de/brandlist/innogy.html
Devolo,Germany,de,https://www.conrad.de/de/Search.html?searchType=REGULAR&search=devolo%20conrad%20connect
Fitbit,Germany,de,https://www.conrad.de/de/Search.html?search=fitbit%20conrad%20connect&searchType=REGULAR
Garmin,Germany,de,https://www.conrad.de/de/Search.html?search=Garmin%20conrad%20connect&searchType=REGULAR
Logitech Harmony,Germany,de,https://www.conrad.de/de/Search.html?search=logitech%20harmony%20conrad%20connect&searchType=REGULAR
Mobile Alerts,Germany,de,https://www.conrad.de/de/Search.html?search=Mobile%20Alerts%20conrad%20connect&searchType=REGULAR
Myfox Home Control,Germany,de,https://conradconnect.de/compatible/myfox
Netatmo,Germany,de,https://www.conrad.de/de/Search.html?search=Netatmo%20conrad%20connect&searchType=REGULAR
Philips Hue,Germany,de,https://www.conrad.de/de/Search.html?search=Philips%20Hue%20conrad%20connect&searchType=REGULAR
Polar,Germany,de,https://www.conrad.de/de/Search.html?search=polar%20conrad%20connect&searchType=REGULAR
Innogy,Germany,de,https://www.conrad.de/de/Search.html?search=Innogy%20smarthome%20conrad%20connect&searchType=REGULAR
Smappee,Germany,de,https://www.conrad.de/de/Search.html?search=Smappee%20conrad%20connect&searchType=REGULAR
Withings,Germany,de,https://www.conrad.de/de/Search.html?search=Withings%20conrad%20connect&searchType=REGULAR
Osram Lightify,Germany,de,https://www.conrad.de/de/Search.html?search=Osram%20Lightify%20conrad%20connect&searchType=REGULAR
Tado,Germany,de,https://www.conrad.de/de/Search.html?searchType=REGULAR&search=Tado%20conrad%20connect
Nest,Germany,de,https://www.conrad.de/de/Search.html?search=nest%20protect&searchType=REGULAR&category=%1FGeb%25C3%25A4udetechnik%1FSmart%2BHome
conradWrapper,Germany,de,https://www.conrad.de/de/Search.html?search=c-control%20industrial%20iot&searchType=REGULAR
Honeywell,Germany,de,https://www.conrad.de/de/Search.html?search=honeywell%20evohome&searchType=REGULAR
Devolo,Belgium,be,http://www.conrad.be/ce/nl/overview/2806098/Devolo-Home-Control
alexa,Netherlands,nl,https://www.conrad.nl/nl/brandlist/amazon-echo.html
greeniq,Netherlands,nl,https://www.conrad.nl/nl/brandlist/greeniq.html
lightify,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=lightify&searchType=REGULAR&category=%1FHuistechniek%1FSmart%2BHome
rwe,Netherlands,nl,https://www.conrad.nl/nl/brandlist/innogy.html
Nest,Netherlands,nl,https://www.conrad.nl/nl/brandlist/nest.html
Devolo,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=devolo%20home%20control&category=%1FHuistechniek%1FSmart%2BHome
Fitbit,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=fitbit%20conrad%20connect&searchType=REGULAR
Garmin,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=garmin%20conrad%20connect&searchType=REGULAR
Logitech Harmony,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Logitech%20Harmony%20conrad%20connect&searchType=REGULAR
Mobile Alerts,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Mobile%20Alerts%20conrad%20connect&searchType=REGULAR
Netatmo,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Netatmo%20conrad%20connect&searchType=REGULAR
Philips Hue,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Philips%20Hue%20conrad%20connect&searchType=REGULAR
Polar,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Polar%20conrad%20connect&searchType=REGULAR
Innogy,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=innogy%20conrad%20connect&searchType=REGULAR
Smappee,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Smappee%20conrad%20connect&searchType=REGULAR
Withings,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Withings%20conrad%20connect&searchType=REGULAR
Osram Lightify,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=osram%20lightify%20conrad%20connect&searchType=REGULAR
Tado,Netherlands,nl,https://www.conrad.nl/nl/Search.html?search=Tado%20conrad%20connect&searchType=REGULAR
Ccontrol,Austria,at,https://www.conrad.at/de/Search.html?searchType=REGULAR&search=C-Control%20Industrial%20IoT-Box%20100
Honeywell,Austria,at,https://www.conrad.at/de/Search.html?search=honeywell%20evohome%20starter&sc.queryFromSuggest=true&searchType=SUGGEST&searchSource=SUGGEST_QUERY
greeniq,Austria,at,https://www.conrad.at/de/Search.html?search=greeniq&searchType=REGULAR&category=%1FGeb%25C3%25A4udetechnik%1FWasser
lightify,Austria,at,https://www.conrad.at/de/Search.html?searchType=REGULAR&search=lightify%20conrad%20connect&category=%1FGeb%25C3%25A4udetechnik%1FSmart%2BHome
rwe,Austria,at,https://www.conrad.at/de/Search.html?search=innogy&searchType=REGULAR&category=%1FGeb%25C3%25A4udetechnik%1FSmart%2BHome
Devolo,Austria,at,https://www.conrad.at/de/Search.html?search=Devolo%20Home%20Control&searchType=REGULAR
Fitbit,Austria,at,https://www.conrad.at/de/Search.html?search=Fitbit%20conrad%20connect&searchType=REGULAR
Garmin,Austria,at,https://www.conrad.at/de/Search.html?search=Garmin%20conrad%20connect&searchType=REGULAR
Logitech Harmony,Austria,at,https://www.conrad.at/de/Search.html?search=logitech%20harmony%20conrad%20connect&searchType=REGULAR
Mobile Alerts,Austria,at,https://www.conrad.at/de/Search.html?search=Mobile%20Alerts%20conrad%20connect&searchType=REGULAR
Netatmo,Austria,at,https://www.conrad.at/de/Search.html?search=Netatmo%20conrad%20connect&searchType=REGULAR
Philips Hue,Austria,at,https://www.conrad.at/de/Search.html?search=Philips%20Hue%20conrad%20connect&searchType=REGULAR
Polar,Austria,at,https://www.conrad.at/de/Search.html?search=polar%20conrad%20connect&searchType=REGULAR
Innogy,Austria,at,https://www.conrad.at/de/Search.html?search=Innogy%20smarthome%20conrad%20connect&searchType=REGULAR
Smappee,Austria,at,https://www.conrad.at/de/Search.html?search=Smappee%20conrad%20connect&searchType=REGULAR
Withings,Austria,at,https://www.conrad.at/de/Search.html?search=Withings%20conrad%20connect&searchType=REGULAR
Osram Lightify,Austria,at,https://www.conrad.at/de/Search.html?search=Osram%20Lightify%20conrad%20connect&searchType=REGULAR
Tado,Austria,at,https://www.conrad.at/de/Search.html?searchType=REGULAR&search=Tado%20conrad%20connect
Devolo,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmd5%252f5814326361f50727bfc92ff6e4d964ce%252fmd5%257d&search_input=Devolo+Home+Control&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Fitbit,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253eFitBit%2520conrad%2520connect%253c%252fs1%253e%252fsf%257d%257bmd5%252f5e610367e90c4f8d3b5314d1710f99bb%252fmd5%257d&search_input=Fitbit+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Garmin,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253eGarmin%253c%252fs1%253e%252fsf%257d%257bmd5%252f6140e4300ee5a546f4243ed7fdc5dc85%252fmd5%257d&search_input=Garmin+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Logitech Harmony,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253eLogitech%2520Harmony%253c%252fs1%253e%252fsf%257d%257bmd5%252f75905dd36d655ccccef9bbbc3ff3acf4%252fmd5%257d&search_input=Logitech+Harmony+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Mobile Alerts,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253eMobile%2520Alerts%253c%252fs1%253e%252fsf%257d%257bmd5%252f97fec406d1c60fe5497588471bc00a72%252fmd5%257d&search_input=Mobile+Alerts+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Netatmo,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253eNetatmo%253c%252fs1%253e%252fsf%257d%257bmd5%252fb0a5e5dae90aebc0f7e1586e03db19b7%252fmd5%257d&search_input=Netatmo+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Philips Hue,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253ePhilips%2520Hue%253c%252fs1%253e%252fsf%257d%257bmd5%252fe7b2d3be96b281a259eaf936f3e23245%252fmd5%257d&search_input=Philips+Hue+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Polar,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253ePolar%253c%252fs1%253e%252fsf%257d%257bmd5%252f897e9584659721be8fe1045ef3b3b778%252fmd5%257d&search_input=Polar+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Innogy,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bsf%252f%253cs1%253eInnogy%253c%252fs1%253e%252fsf%257d%257bmd5%252f4632fc89d61ddf8f3edc3edf0d9e8505%252fmd5%257d&search_input=Innogy+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Smappee,Sweden,se,https://www.conrad.se/Energim%e4tare-Set-smappee-Energy-monitor.htm?websale8=conrad-swe&pi=1422812&amp;ci=SHOP_AREA_93243_1114014
Withings,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f93243%255f1114014%252fmi%257d%257bpi%252f1422812%252fpi%257d%257bsf%252f%253cs1%253eWithings%253c%252fs1%253e%252fsf%257d%257bmd5%252fec449faa484d0b698b417f2e00c1a095%252fmd5%257d&search_input=Withings+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Osram Lightify,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f93243%255f1114014%252fmi%257d%257bpi%252f1422812%252fpi%257d%257bsf%252f%253cs1%253eOsram%2520Lightify%253c%252fs1%253e%252fsf%257d%257bmd5%252f491d64810c47f3a43f8b48430824b26c%252fmd5%257d&search_input=Osram+Lightify+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Tado,Sweden,se,https://www.conrad.se/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252dswe%252fs%257d%257bl%252f01%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f93243%255f1114014%252fmi%257d%257bpi%252f1422812%252fpi%257d%257bsf%252f%253cs1%253eTado%253c%252fs1%253e%252fsf%257d%257bmd5%252f28e709507792e5106dd47e503551d648%252fmd5%257d&search_input=Tado+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Devolo,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bsf%252f%253cs1%253eDevolo%253c%252fs1%253e%252fsf%257d%257bmd5%252f46b54435802d93c9aaf31c59ab7cb6a4%252fmd5%257d&search_input=Devolo+Home+Control&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
